Algorithm, count, time
Treap insert, 0,0.000308
Treap find, 0,1.5e-05
Treap remove, 0,1.3e-05
Treap insert, 10,0.000413
Treap find, 10,8e-05
Treap remove, 10,7.8e-05
Treap insert, 100,0.000369
Treap find, 100,0.000109
Treap remove, 100,0.000138
Treap insert, 1000,0.000349
Treap find, 1000,0.000172
Treap remove, 1000,0.000211
Treap insert, 10000,0.000407
Treap find, 10000,0.000228
Treap remove, 10000,0.000266
Treap insert, 100000,0.000634
Treap find, 100000,0.000721
Treap remove, 100000,0.000628
Treap insert, 1000000,0.001566
Treap find, 1000000,0.001333
Treap remove, 1000000,0.001528
Treap insert, 5000000,0.002092
Treap find, 5000000,0.00364
Treap remove, 5000000,0.002045
Treap insert, 7000000,0.002155
Treap find, 7000000,0.002015
Treap remove, 7000000,0.002483
Treap insert, 9999999,0.003281
Treap find, 9999999,0.002648
Treap remove, 9999999,0.001935
Splay insert, 0,0.001061
Splay find, 0,1.3e-05
Splay remove, 0,2e-05
Splay insert, 10,0.000845
Splay find, 10,0.00019
Splay remove, 10,0.000195
Splay insert, 100,0.000922
Splay find, 100,0.000408
Splay remove, 100,0.000384
Splay insert, 1000,0.000932
Splay find, 1000,0.000576
Splay remove, 1000,0.000574
Splay insert, 10000,0.00108
Splay find, 10000,0.00069
Splay remove, 10000,0.000693
Splay insert, 100000,0.001685
Splay find, 100000,0.001205
Splay remove, 100000,0.001564
Splay insert, 1000000,0.00307
Splay find, 1000000,0.003119
Splay remove, 1000000,0.003396
Splay insert, 5000000,0.004128
Splay find, 5000000,0.007946
Splay remove, 5000000,0.00445
Splay insert, 7000000,0.004557
Splay find, 7000000,0.003632
Splay remove, 7000000,0.003819
Splay insert, 9999999,0.004317
Splay find, 9999999,0.004325
Splay remove, 9999999,0.004802
Map insert, 0,0.000863
Map find, 0,0.000636
Map remove, 0,7.7e-05
Map insert, 10,0.000577
Map find, 10,0.000573
Map remove, 10,0.000131
Map insert, 100,0.000589
Map find, 100,0.000517
Map remove, 100,0.000165
Map insert, 1000,0.000591
Map find, 1000,0.000551
Map remove, 1000,0.000234
Map insert, 10000,0.000598
Map find, 10000,0.00053
Map remove, 10000,0.00025
Map insert, 100000,0.000991
Map find, 100000,0.00085
Map remove, 100000,0.000482
Map insert, 1000000,0.001837
Map find, 1000000,0.001392
Map remove, 1000000,0.001202
Map insert, 5000000,0.002311
Map find, 5000000,0.001903
Map remove, 5000000,0.001721
Map insert, 7000000,0.002068
Map find, 7000000,0.002196
Map remove, 7000000,0.001573
Map insert, 9999999,0.002743
Map find, 9999999,0.002196
Map remove, 9999999,0.001637
AVL insert, 0,0.000475
AVL find, 0,1.4e-05
AVL remove, 0,1e-05
AVL insert, 10,0.00053
AVL find, 10,3.9e-05
AVL remove, 10,0.00011
AVL insert, 100,0.000456
AVL find, 100,8.5e-05
AVL remove, 100,0.000213
AVL insert, 1000,0.000516
AVL find, 1000,0.000118
AVL remove, 1000,0.000323
AVL insert, 10000,0.000918
AVL find, 10000,0.000218
AVL remove, 10000,0.000534
AVL insert, 100000,0.001285
AVL find, 100000,0.000428
AVL remove, 100000,0.000852
AVL insert, 1000000,0.002237
AVL find, 1000000,0.000896
AVL remove, 1000000,0.00181
AVL insert, 5000000,0.002278
AVL find, 5000000,0.001408
AVL remove, 5000000,0.002393
AVL insert, 7000000,0.003171
AVL find, 7000000,0.002204
AVL remove, 7000000,0.002312
AVL insert, 9999999,0.002982
AVL find, 9999999,0.001467
AVL remove, 9999999,0.003726
